REBNY BBL Search,,,,,,
BBL Search Guide,,,,,,
12.27.18,,,,,,
,,,,,,
,,,code,borough,block,lot
,,,4035750056,4,3575,56
,,,4035750059,4,3575,59
,,,4035750060,4,3575,60
,,,4035760026,4,3576,26
,,,4035760028,4,3576,28
,,,1011150017,1,1115,17
,,,1012180029,1,1218,29
,,,1014060001,1,1406,1
,,,3016580040,3,1658,40
,,,3002650050,3,265,50
,,,4034520015,4,3452,15
,,,3015420034,3,1542,34
,,,3045970001,3,4597,1
,,,4034770027,4,3477,27
,,,4035750052,4,3575,52
,,,4102000071,4,10200,71
,,,2033050058,2,3305,58
